InvoiceNo,CustomerID,Date,ProductCategory,Quantity,UnitPrice,DiscountApplied,ReviewRating,IsFirstPurchase,MarketingChannel,Country,TimeOnSite,ShippingCost,ItemsInCart,PreviousSpending,BrowsingSessions,TotalAmount,,,,,,
INV105646,CUST1810,1/1/2023,Home,7,67.88,44.6,4,0,Organic,USA,273.8,6.84,7,186.55,3,270.08,,218.92136,,475.16,211.92136,270.08
INV105099,CUST1530,1/1/2023,Toys,6,24.22,0,2,1,Social,USA,401,9.84,8,0,3,155.16,,8,,145.32,0,155.16
INV102818,CUST1701,1/1/2023,Electronics,6,158.78,25.9,5,1,Email,Germany,324.2,13.35,6,0,3,719.29,,252.74412,,952.68,246.74412,719.29
INV107351,CUST1323,1/1/2023,Electronics,5,102.23,39,3,1,Social,Australia,381.3,12.39,6,0,5,324.19,,205.3485,,511.15,199.3485,324.19
INV108415,CUST1406,1/1/2023,Electronics,8,62.32,26.7,4,0,Email,UK,206.5,21.62,8,371.94,4,387.06,,141.11552,,498.56,133.11552,387.06
INV108351,CUST1080,1/1/2023,Toys,10,23.47,0,3,0,Organic,USA,523.1,8.84,12,260.71,1,243.54,,12,,234.7,0,243.54
INV102365,CUST1116,1/1/2023,Electronics,5,89.92,0,4,1,Social,Canada,293.7,13.64,6,0,2,463.24,,6,,449.6,0,463.24
INV105292,CUST1878,1/1/2023,Home,8,53.86,30,,0,nan,Australia,236.9,3.93,10,467.25,2,305.55,,139.264,,430.88,129.264,305.55
INV106075,CUST1580,1/1/2023,Home,9,37.73,0,5,0,Social,UK,256.1,6.08,10,327.97,4,345.65,,10,,339.57,0,345.65
INV103874,CUST1449,1/1/2023,Clothing,9,62.74,46,3,0,Email,USA,370.5,2.1,9,344.71,4,307.02,,268.7436,,564.66,259.7436,307.02
INV100945,CUST1399,1/1/2023,Home,12,42.96,0,5,0,Social,France,532.7,3.34,12,408.65,3,518.86,,12,,515.52,0,518.86
INV103695,CUST1382,1/1/2023,Beauty,5,16.1,0,4,0,Organic,USA,156,3.79,6,219.16,5,84.29,,6,,80.5,0,84.29
INV106350,CUST1414,1/1/2023,Electronics,5,106.68,30.4,4,1,nan,USA,311.2,13.14,5,0,3,384.39,,167.1536,,533.4,162.1536,384.39
INV104196,CUST1487,1/2/2023,Sports,8,56.03,46.1,,0,Organic,USA,236.7,4.93,8,366.57,3,246.53,,214.63864,,448.24,206.63864,246.53
INV102780,CUST1805,1/2/2023,Clothing,11,28.78,22.7,1,0,Organic,UK,264.1,6.02,13,473.35,5,250.74,,84.86366,,316.58,71.86366,250.74
INV108808,CUST1738,1/2/2023,Clothing,6,23.27,0,5,0,Email,France,184.1,8.65,7,305.62,5,148.27,,7,,139.62,0,148.27
INV100472,CUST1535,1/2/2023,Toys,6,22.43,17.7,5,1,Social,USA,312.3,15.3,7,0,3,126.06,,30.82066,,134.58,23.82066,126.06
INV102703,CUST1810,1/2/2023,Beauty,7,27.87,0,5,0,Email,France,286,14.81,8,185.43,3,209.9,,8,,195.09,0,209.90
INV108125,CUST1077,1/2/2023,Clothing,4,34.19,18.5,3,0,Social,USA,129,9.75,5,156.97,1,121.21,,30.3006,,136.76,25.3006,121.21
INV107245,CUST1117,1/2/2023,Clothing,7,34.28,14.1,4,0,Email,Germany,369.1,6.42,8,171.65,5,212.55,,41.83436,,239.96,33.83436,212.55
INV104563,CUST1602,1/2/2023,Clothing,6,22.74,6.1,4,0,Social,USA,68.5,20.35,7,317.72,2,148.47,,15.32284,,136.44,8.32284,148.47
INV103841,CUST1282,1/2/2023,Electronics,25,369.64,0,,1,nan,France,289,1.35,7,0,5,9242.35,,7,,9241,0,9242.35
INV102611,CUST1454,1/2/2023,Home,6,44.01,0,1,0,Organic,Australia,,1.41,6,194.61,5,265.47,,6,,264.06,0,265.47
INV105414,CUST1136,1/3/2023,Clothing,5,25.24,0,,1,Social,Germany,263.1,6.41,5,0,3,132.61,,5,,126.2,0,132.61
INV102182,CUST1587,1/3/2023,Clothing,10,43.19,15.8,5,0,Email,USA,258.4,3.29,11,478.8,2,366.95,,79.2402,,431.9,68.2402,366.95
INV107967,CUST1379,1/3/2023,Electronics,7,63.89,0,4,0,Organic,France,160.5,12.22,8,266.14,1,459.45,,8,,447.23,0,459.45
